spstock2,totalACL_mt,nonsector_nonrec_fraction,rec_fraction,sector_frac,mults_allocated,mults_nonalloc,non_mult,stockarea
AmericanLobster,,0,0,1,0,0,0,Unit
AmericanPlaiceFlounder,,0,0,1,0,0,0,Unit
CodGB,,0,0,1,0,0,0,Unit
CodGOM,,0,0,1,0,0,0,Unit
HaddockGB,,0,0,1,0,0,0,Unit
HaddockGOM,,0,0,1,0,0,0,Unit
Monkfish,,0,0,1,0,0,0,Unit
NoFish,,0,0,1,0,0,0,Unit
Other,,0,0,1,0,0,0,Unit
Pollock,,0,0,1,0,0,0,Unit
RedSilverOffshoreHake,,0,0,1,0,0,0,Unit
Redfish,,0,0,1,0,0,0,Unit
SeaScallop,,0,0,1,0,0,0,Unit
Skates,,0,0,1,0,0,0,Unit
SpinyDogfish,,0,0,1,0,0,0,Unit
SquidMackerelButterfishHerring,,0,0,1,0,0,0,Unit
SummerFlounder,,0,0,1,0,0,0,Unit
WhiteHake,,0,0,1,0,0,0,Unit
WinterFlounderGB,,0,0,1,0,0,0,Unit
WinterFlounderGOM,,0,0,1,0,0,0,Unit
WitchFlounder,,0,0,1,0,0,0,Unit
YellowtailFlounderCCGOM,,0,0,1,0,0,0,Unit
YellowtailFlounderGB,,0,0,1,0,0,0,Unit
YellowtailFlounderSNEMA,,0,0,1,0,0,0,Unit
americanplaiceflounder,16646,.029262286,0,.9707377,1,0,0,Unit
codGB,20048,.084674582,0,.9153254,1,0,0,GB
codGOM,27585,.047714334,.33700001,.61528563,1,0,0,GOM
haddockGB,281968,.013776031,0,.986224,1,0,0,GB
haddockGOM,13301,.024862792,.27500001,.7001372,1,0,0,GOM
halibut,765,.3027451,0,.6972549,0,1,0,Unit
oceanpout,1716,.17226107,0,.82773894,0,1,0,Unit
pollock,136682,.086478829,0,.91352117,1,0,0,Unit
redfish,77086,.0025075891,0,.99749243,1,0,0,Unit
whitehake,29214,.019018278,0,.98098171,0,0,0,Unit
windowpanen,1264,.38631329,0,.61368668,0,1,0,Unit
windowpanes,3610,.95382273,0,.046177268,0,1,0,Unit
winterflounderGB,18067,.025250457,0,.97474957,1,0,0,GB
winterflounderGOM,5916,.15647396,0,.84352601,1,0,0,GOM
winterflounderSNEMA,8379,.23893066,0,.76106936,1,0,0,SNEMA
witchflounder,7299,.14649953,0,.85350049,1,0,0,Unit
wolffish,580,.018965518,0,.98103446,0,1,0,Unit
yellowtailflounderCCGOM,5306,.13390501,0,.86609501,1,0,0,CCGOM
yellowtailflounderGB,4213.399993896484,.13283809,0,.86716193,1,0,0,GB
yellowtailflounderSNEMA,4555,.23183315,0,.76816684,1,0,0,SNEMA
